name,cluster,label
Sequence-83681,C6189,0
Sequence-33330,C1347,0
Sequence-25806,C5741,0
Sequence-35299,C4359,0
Sequence-98644,C4561,0
Sequence-68628,C4717,0
Sequence-24230,C7201,0
Sequence-97246,C3344,0
Sequence-129354,C64,0
Sequence-26271,C29,0
Sequence-81382,C3748,0
Sequence-109566,C3154,0
Sequence-130003,C2820,0
Sequence-27855,C1715,0
Sequence-72774,C1838,0
Sequence-40979,C2773,0
Sequence-15062,C97,0
Sequence-124552,C786,0
Sequence-4792,C377,0
Sequence-42021,C6958,0
Sequence-94931,C1396,0
Sequence-106283,C1566,0
Sequence-52510,C3061,0
Sequence-55798,C68,0
Sequence-51511,C1554,1
Sequence-35469,C387,0
Sequence-125159,C2452,0
Sequence-39045,C1319,0
Sequence-125511,C2989,0
Sequence-106175,C3641,0
Sequence-133307,C6762,0
Sequence-21655,C1853,0
Sequence-6038,C6446,0
Sequence-19098,C4694,0
Sequence-59842,C3179,0
Sequence-83073,C6088,0
Sequence-109727,C2585,0
Sequence-72830,C4952,0
Sequence-761,C5527,0
Sequence-24555,C3374,0
Sequence-110725,C467,0
Sequence-140137,C4410,0
Sequence-116509,C7296,0
Sequence-104247,C2675,0
Sequence-80161,C6605,0
Sequence-46703,C10,0
Sequence-123706,C1438,0
Sequence-75239,C6098,0
Sequence-2253,C4845,0
Sequence-125033,C1111,0
Sequence-101887,C7134,0
Sequence-40971,C5746,0
Sequence-72345,C3519,0
Sequence-36394,C128,0
Sequence-114222,C7270,0
Sequence-110297,C2526,0
Sequence-124270,C4905,0
Sequence-105221,C4417,0
Sequence-125878,C3284,0
Sequence-105281,C1717,0
Sequence-49324,C7502,0
Sequence-79813,C3214,0
Sequence-30470,C1346,0
Sequence-46795,C4677,0
Sequence-124437,C4276,0
Sequence-32592,C384,0
Sequence-106791,C1717,0
Sequence-93365,C6635,0
Sequence-5239,C6183,0
Sequence-50756,C5434,0
Sequence-31943,C347,0
Sequence-87813,C3941,0
Sequence-26131,C2521,0
Sequence-83904,C2541,0
Sequence-87805,C2869,0
Sequence-98561,C2182,0
Sequence-75892,C805,0
Sequence-78825,C2063,0
Sequence-16377,C905,0
Sequence-90146,C4688,0
Sequence-101988,C3915,0
Sequence-107235,C98,0
Sequence-8275,C4237,0
Sequence-39926,C2564,0
Sequence-41228,C4842,0
Sequence-25148,C3092,0
Sequence-114711,C768,0
Sequence-94094,C4271,0
Sequence-105449,C890,0
Sequence-117305,C1734,0
Sequence-86943,C6144,0
Sequence-124026,C3613,0
Sequence-10931,C5010,0
Sequence-94041,C911,0
Sequence-16848,C2447,0
Sequence-115607,C2659,0
Sequence-110247,C106,0
Sequence-120728,C5954,0
Sequence-46173,C4108,0
Sequence-126848,C5685,0
Sequence-105632,C3551,0
Sequence-92312,C5642,0
Sequence-57175,C1311,0
Sequence-130490,C587,0
Sequence-131288,C125,0
Sequence-115042,C718,0
Sequence-3834,C567,0
Sequence-6951,C5940,0
Sequence-66132,C821,0
Sequence-22990,C94,0
Sequence-142042,C924,0
Sequence-28473,C421,0
Sequence-129378,C742,0
Sequence-6294,C1979,0
Sequence-14044,C72,0
Sequence-117726,C3508,0
Sequence-69181,C5029,0
Sequence-63231,C1946,0
Sequence-75739,C541,0
Sequence-26637,C6509,0
Sequence-121608,C7532,0
Sequence-86685,C6270,0
Sequence-12890,C4145,0
Sequence-116760,C7675,0
Sequence-4402,C3041,0
Sequence-17991,C2733,0
Sequence-21917,C1800,0
Sequence-10919,C4325,0
Sequence-23321,C6257,0
Sequence-47383,C4368,0
Sequence-13667,C12,0
Sequence-41333,C2088,0
Sequence-206,C491,0
Sequence-120060,C1987,0
Sequence-67831,C2868,0
Sequence-23632,C5434,0
Sequence-85236,C1780,0
Sequence-60876,C1176,0
Sequence-117997,C189,0
Sequence-87180,C3740,0
Sequence-64663,C5284,0
Sequence-78090,C342,0
Sequence-10873,C340,0
Sequence-22971,C4410,0
Sequence-37358,C2408,0
Sequence-102705,C5187,0
Sequence-18879,C1771,0
Sequence-74218,C2114,0
Sequence-73276,C6822,0
Sequence-123031,C395,0
Sequence-53021,C3,0
Sequence-118026,C3591,0
Sequence-94435,C7570,0
Sequence-34151,C1758,0
Sequence-58705,C1822,0
Sequence-135368,C3625,0
Sequence-124502,C2079,0
Sequence-115472,C3459,0
Sequence-63973,C1853,0
Sequence-80456,C1650,0
Sequence-116153,C4758,0
Sequence-123838,C7982,0
Sequence-9821,C237,0
Sequence-122051,C2453,0
Sequence-44868,C2616,0
Sequence-60163,C1204,0
Sequence-15842,C3321,0
Sequence-108827,C4916,0
Sequence-126297,C2839,0
Sequence-87039,C4671,0
Sequence-63308,C879,0
Sequence-62976,C2854,0
Sequence-10195,C1860,0
Sequence-44815,C404,0
Sequence-46258,C2517,0
Sequence-47721,C2179,0
Sequence-78278,C3004,0
Sequence-82124,C6460,0
Sequence-77494,C5068,0
Sequence-113696,C1082,0
Sequence-34604,C1508,0
Sequence-129486,C6526,0
Sequence-103491,C3477,0
Sequence-95340,C344,0
Sequence-86284,C3336,0
Sequence-87885,C393,0
Sequence-117995,C5226,1
Sequence-67551,C2634,0
Sequence-126164,C6954,0
Sequence-44810,C42,0
Sequence-5169,C4492,0
Sequence-1403,C4132,0
Sequence-76448,C3571,0
Sequence-53972,C3689,0
Sequence-126395,C3430,0
Sequence-39074,C30,1
Sequence-79087,C5007,0
Sequence-24454,C2591,1
Sequence-43031,C2406,0
Sequence-740,C480,0
Sequence-102951,C136,0
Sequence-141673,C11,0
Sequence-20047,C5191,0
Sequence-73288,C145,0
Sequence-64088,C3116,0
Sequence-58573,C1223,0
Sequence-141970,C2036,0
Sequence-31331,C3489,0
Sequence-17384,C1456,0
Sequence-26010,C4188,0
Sequence-107029,C3680,0
Sequence-111610,C3816,0
Sequence-85855,C7306,0
Sequence-16774,C6930,0
Sequence-110292,C74,0
Sequence-75939,C5613,0
Sequence-46234,C5688,0
Sequence-51441,C6084,0
Sequence-107129,C675,0
Sequence-122926,C3264,0
Sequence-120789,C969,0
Sequence-32711,C4983,0
Sequence-139554,C4597,0
Sequence-18362,C768,0
Sequence-118943,C6142,0
Sequence-124678,C1701,0
Sequence-86689,C4397,0
Sequence-96681,C2924,0
Sequence-46790,C420,0
Sequence-89132,C4715,0
Sequence-33448,C2360,0
Sequence-40944,C2350,0
Sequence-58261,C7177,0
Sequence-77076,C2092,0
Sequence-71526,C6760,0
Sequence-37543,C2408,0
Sequence-35753,C876,1
Sequence-124404,C179,0
Sequence-61890,C113,0
Sequence-64536,C3617,1
Sequence-19617,C287,1
Sequence-94020,C1815,0
Sequence-84205,C784,0
Sequence-4187,C5581,0
Sequence-15711,C18,0
Sequence-125936,C2194,0
Sequence-70522,C25,0
Sequence-108434,C895,0
Sequence-38482,C4858,0
Sequence-91493,C1155,0
Sequence-105155,C2346,0
Sequence-102529,C5454,0
Sequence-113838,C4962,0
Sequence-90517,C1963,0
Sequence-47857,C1949,0
Sequence-70098,C1340,0
Sequence-50972,C658,0
Sequence-68242,C2558,0
Sequence-71931,C9,1
Sequence-51850,C3581,0
Sequence-33167,C1155,0
Sequence-98101,C6341,0
Sequence-89483,C1938,0
Sequence-89354,C4761,0
Sequence-2294,C3029,0
Sequence-132088,C3741,0
Sequence-58720,C1595,1
Sequence-52584,C2661,0
Sequence-89272,C7642,0
Sequence-140175,C3799,0
Sequence-76141,C3920,0
Sequence-133912,C478,0
Sequence-138087,C44,0
Sequence-55164,C3719,0
Sequence-127779,C6675,0
Sequence-27151,C2312,0
Sequence-39623,C2143,1
Sequence-132323,C4712,0
Sequence-36704,C4770,0
Sequence-24887,C2521,0
Sequence-20580,C3845,0
Sequence-97292,C1280,0
Sequence-100818,C2056,0
Sequence-66486,C2160,0
Sequence-90635,C5350,0
Sequence-132740,C7554,0
Sequence-6994,C5279,0
Sequence-104000,C6715,0
Sequence-77430,C3224,0
Sequence-130771,C6624,0
Sequence-126446,C3000,0
Sequence-91885,C7546,0
Sequence-138268,C5880,0
Sequence-29201,C4267,0
Sequence-6117,C23,0
Sequence-75553,C4616,0
Sequence-125147,C6656,0
Sequence-20102,C3832,0
Sequence-60844,C2372,0
Sequence-36134,C6396,0
Sequence-98403,C1356,0
Sequence-35267,C6167,0
Sequence-59375,C7379,0
Sequence-49365,C3771,0
Sequence-60217,C2838,0
Sequence-141415,C1305,0
Sequence-92102,C48,0
Sequence-41147,C884,0
Sequence-57251,C6339,0
Sequence-38361,C874,0
Sequence-127246,C3301,0
Sequence-110321,C5695,0
Sequence-33694,C6434,0
Sequence-6508,C1607,0
Sequence-53729,C3865,0
Sequence-130469,C1796,1
Sequence-124099,C6814,0
Sequence-75402,C4181,0
Sequence-97056,C2507,0
Sequence-3517,C4862,0
Sequence-69931,C6765,0
Sequence-88101,C1015,0
Sequence-123995,C7161,0
Sequence-76121,C2166,0
Sequence-117877,C7729,0
Sequence-54038,C3233,0
Sequence-60910,C4852,0
Sequence-39419,C1715,0
Sequence-2284,C5525,0
Sequence-16487,C6622,0
Sequence-80636,C1818,0
Sequence-97274,C2046,0
Sequence-120277,C3924,0
Sequence-37974,C4600,0
Sequence-89228,C4836,0
Sequence-30427,C7359,0
Sequence-87044,C343,0
Sequence-16570,C2163,0
Sequence-30440,C1567,0
Sequence-55995,C4150,0
Sequence-28574,C2547,0
Sequence-137708,C2282,0
Sequence-11891,C736,0
Sequence-88107,C6699,0
Sequence-73075,C862,0
Sequence-59766,C5229,1
Sequence-24877,C6602,0
Sequence-1887,C5541,0
Sequence-128970,C88,0
Sequence-98388,C6301,0
Sequence-13537,C3294,0
Sequence-19663,C4349,1
Sequence-4774,C1287,0
Sequence-100033,C808,0
Sequence-84948,C4774,0
Sequence-74012,C3230,0
Sequence-97440,C7347,0
Sequence-33778,C7027,0
Sequence-102369,C588,0
Sequence-112459,C2585,0
Sequence-78805,C1716,0
Sequence-94710,C1527,0
Sequence-46613,C659,0
Sequence-13082,C3658,0
Sequence-35243,C4419,0
Sequence-69963,C5702,0
Sequence-118522,C5977,0
Sequence-2480,C3477,0
Sequence-14287,C4836,0
Sequence-101749,C1434,0
Sequence-87689,C4254,0
Sequence-44604,C2781,0
Sequence-14631,C212,0
Sequence-26510,C6557,0
Sequence-142225,C4403,0
Sequence-57631,C3303,1
Sequence-88880,C5114,0
Sequence-114275,C687,0
Sequence-1909,C2721,0
Sequence-24646,C1437,0
Sequence-37949,C6645,1
Sequence-125014,C4465,0
Sequence-99428,C5313,0
Sequence-50582,C301,0
Sequence-65383,C6076,0
Sequence-120359,C638,0
Sequence-31436,C435,0
Sequence-67182,C3770,0
Sequence-45795,C4737,0
Sequence-16853,C1551,0
Sequence-67504,C5346,0
Sequence-59873,C2300,0
Sequence-123408,C4332,0
Sequence-1519,C5180,0
Sequence-27519,C5003,0
Sequence-70240,C47,0
Sequence-76071,C224,0
Sequence-93157,C4323,0
Sequence-35046,C1868,0
Sequence-54117,C3581,0
Sequence-38916,C5450,0
Sequence-42237,C6342,0
Sequence-121990,C1987,0
Sequence-139295,C974,0
Sequence-24975,C1682,0
Sequence-45677,C3678,1
Sequence-108971,C87,0
Sequence-6544,C3907,0
Sequence-135762,C833,0
Sequence-3320,C4496,0
Sequence-34175,C4070,0
Sequence-82218,C482,0
Sequence-930,C703,0
Sequence-112469,C2313,0
Sequence-35263,C1774,0
Sequence-100539,C1744,0
Sequence-83540,C2402,0
Sequence-135910,C404,0
Sequence-126826,C2530,0
Sequence-47583,C4402,0
Sequence-72650,C1801,0
Sequence-39187,C1717,0
Sequence-31798,C798,0
Sequence-41447,C561,0
Sequence-91789,C3734,0
Sequence-123470,C3156,0
Sequence-26749,C5377,0
Sequence-45831,C1375,0
Sequence-120747,C3030,0
Sequence-77751,C1976,0
Sequence-90264,C3144,0
Sequence-100928,C2763,0
Sequence-53734,C2423,1
Sequence-43443,C3651,0
Sequence-42767,C6802,0
Sequence-141000,C4076,0
Sequence-52748,C2255,0
Sequence-129834,C3481,0
Sequence-10815,C372,0
Sequence-123130,C2415,0
Sequence-85963,C4242,0
Sequence-35031,C2183,0
Sequence-56462,C3570,0
Sequence-81053,C3145,0
Sequence-101892,C2075,0
Sequence-61424,C5072,0
Sequence-113034,C5795,0
Sequence-4814,C1290,0
Sequence-104203,C168,0
Sequence-81369,C1008,0
Sequence-94008,C5408,0
Sequence-132936,C6549,0
Sequence-77717,C6845,0
Sequence-45806,C5562,0
Sequence-122377,C2227,0
Sequence-33311,C1555,0
Sequence-79489,C2362,0
Sequence-125380,C221,0
Sequence-110989,C763,0
Sequence-35760,C316,0
Sequence-68714,C3786,0
Sequence-7560,C1450,0
Sequence-93758,C1073,0
Sequence-133503,C5133,0
Sequence-123631,C3694,1
Sequence-101495,C2858,0
Sequence-44135,C4310,0
Sequence-132140,C3079,0
Sequence-3762,C1755,0
Sequence-111880,C3660,0
Sequence-51890,C2267,1
Sequence-19183,C3781,0
Sequence-42061,C2207,0
Sequence-7286,C6200,0
Sequence-34324,C7313,0
Sequence-105642,C5244,0
Sequence-141832,C73,0
Sequence-14956,C1685,0
Sequence-30731,C1645,0
Sequence-4714,C4563,0
Sequence-88562,C2014,0
Sequence-122527,C1419,0
Sequence-4993,C3449,0
Sequence-22977,C7352,0
Sequence-129414,C1316,0
Sequence-90323,C2202,0
Sequence-21872,C2714,0
Sequence-1112,C5913,0
Sequence-69056,C3039,0
Sequence-97157,C2181,0
Sequence-139574,C2002,0
Sequence-45786,C4054,0
Sequence-69934,C3962,0
Sequence-103625,C2152,0
Sequence-53112,C1683,0
Sequence-129371,C1149,0
Sequence-96851,C1049,0
Sequence-87345,C2386,0
Sequence-96756,C3251,0
Sequence-33474,C6232,0
Sequence-108566,C2413,0
Sequence-63166,C3320,0
Sequence-53244,C25,0
Sequence-36700,C4494,0
Sequence-29050,C2054,0
Sequence-91707,C7517,0
Sequence-17544,C2617,0
Sequence-47618,C3567,0
Sequence-3301,C2763,0
Sequence-14,C1932,0
Sequence-93816,C5220,0
Sequence-54185,C4051,0
Sequence-75495,C388,0
Sequence-131252,C2719,0
Sequence-133470,C798,0
Sequence-123036,C233,0
Sequence-106933,C6596,0
Sequence-110960,C3427,0
Sequence-73567,C1123,0
Sequence-55984,C1952,0
Sequence-19022,C68,0
Sequence-94741,C2688,0
Sequence-58879,C5668,0
Sequence-100984,C4144,0
Sequence-17574,C3634,1
Sequence-91491,C3230,0
Sequence-58546,C5408,0
Sequence-127487,C216,0
Sequence-58742,C6830,0
Sequence-45977,C4163,0
Sequence-29414,C5433,0
Sequence-9482,C3526,0
Sequence-105775,C1237,0
Sequence-36941,C1749,0
Sequence-105167,C3044,0
Sequence-128526,C3244,0
Sequence-98728,C1412,0
Sequence-12929,C7176,0
Sequence-79647,C3518,0
Sequence-16963,C947,0
Sequence-121561,C2586,0
Sequence-85262,C2267,0
Sequence-120750,C2631,0
Sequence-113871,C3368,0
Sequence-56503,C1641,0
Sequence-951,C6158,0
Sequence-84894,C846,0
Sequence-104478,C3145,0
Sequence-64329,C4240,0
Sequence-122378,C7566,0
Sequence-86454,C4276,0
Sequence-85360,C2913,0
Sequence-56242,C6510,0
Sequence-140676,C407,0
Sequence-14976,C2573,0
Sequence-74645,C1763,0
Sequence-74066,C1878,0
Sequence-139724,C337,0
Sequence-17658,C2037,0
Sequence-22938,C2285,0
Sequence-22568,C7606,0
Sequence-73545,C6989,1
Sequence-98760,C4641,0
Sequence-108008,C2933,0
Sequence-44674,C1268,0
Sequence-15586,C93,0
Sequence-70356,C1415,0
Sequence-84240,C2360,0
Sequence-135447,C1184,0
Sequence-98888,C3338,0
Sequence-118420,C4871,0
Sequence-52614,C1195,0
Sequence-3702,C1692,0
Sequence-44021,C4453,0
Sequence-68371,C1329,0
Sequence-42545,C403,0
Sequence-111934,C1095,0
Sequence-113162,C3620,0
Sequence-48092,C2849,0
Sequence-113987,C1436,0
Sequence-31658,C4288,0
Sequence-65764,C2262,0
Sequence-96176,C3864,0
Sequence-61862,C6370,0
Sequence-76460,C5193,0
Sequence-99163,C3377,0
Sequence-75152,C156,0
Sequence-45974,C5533,0
Sequence-51175,C3652,0
Sequence-72166,C7065,0
Sequence-106091,C5508,0
Sequence-8568,C732,0
Sequence-3343,C2421,0
Sequence-121969,C151,0
Sequence-137910,C2002,0
Sequence-129496,C5309,0
Sequence-125249,C1925,0
Sequence-466,C400,0
Sequence-34019,C7619,0
Sequence-63969,C3922,0
Sequence-125002,C905,0
Sequence-48400,C1078,0
Sequence-108362,C1766,0
Sequence-121614,C5050,0
Sequence-86998,C5362,0
Sequence-121838,C472,0
Sequence-126390,C6144,0
Sequence-95152,C3583,0
Sequence-123263,C4686,0
Sequence-12314,C3064,0
Sequence-84348,C956,0
Sequence-8981,C5309,0
Sequence-56617,C4056,0
Sequence-100953,C6259,0
Sequence-64550,C74,0
Sequence-120575,C3389,0
Sequence-140428,C5417,0
Sequence-140946,C1455,1
Sequence-50549,C1432,0
Sequence-125090,C4673,0
Sequence-109840,C628,0
Sequence-69855,C3461,0
Sequence-60016,C2671,1
Sequence-112146,C2343,0
Sequence-50757,C832,0
Sequence-62792,C5289,0
Sequence-43230,C2405,0
Sequence-64793,C5496,0
Sequence-66238,C2330,0
Sequence-45816,C30,1
Sequence-2342,C490,0
Sequence-114329,C6908,0
Sequence-99550,C3829,0
Sequence-59880,C4529,0
Sequence-58574,C191,0
Sequence-118703,C110,0
Sequence-63496,C1063,0
Sequence-130108,C5417,0
Sequence-25283,C490,0
Sequence-133181,C4378,0
Sequence-18476,C2860,0
Sequence-82549,C3003,0
Sequence-105491,C5486,0
Sequence-60557,C1292,0
Sequence-16436,C6397,0
Sequence-6089,C2329,0
Sequence-95966,C1017,0
Sequence-29129,C167,0
Sequence-61886,C576,0
Sequence-122830,C1748,0
Sequence-60299,C5951,0
Sequence-91806,C4184,0
Sequence-126882,C2887,0
Sequence-117613,C6371,0
Sequence-30755,C3806,0
Sequence-71776,C261,0
Sequence-114264,C33,0
Sequence-51734,C190,0
Sequence-100870,C7548,0
Sequence-57240,C7468,0
Sequence-115330,C1834,0
Sequence-50671,C4054,0
Sequence-124955,C234,0
Sequence-28201,C6579,0
Sequence-31787,C3441,0
Sequence-95690,C1879,0
Sequence-3928,C2363,0
Sequence-73106,C3509,0
Sequence-99441,C4346,0
Sequence-63199,C6099,0
Sequence-60439,C3506,0
Sequence-100683,C5521,0
Sequence-125318,C4207,0
Sequence-275,C3024,0
Sequence-78167,C5480,0
Sequence-110024,C3000,0
Sequence-123837,C722,0
Sequence-85015,C760,0
Sequence-114305,C117,0
Sequence-88586,C656,0
Sequence-85070,C6244,0
Sequence-139518,C2191,0
Sequence-102738,C2446,0
Sequence-39457,C7796,0
Sequence-102741,C3119,0
Sequence-22424,C181,0
Sequence-120571,C3114,0
Sequence-29930,C1417,0
Sequence-28042,C4278,0
Sequence-68765,C3605,0
Sequence-73863,C5600,0
Sequence-70446,C1210,0
Sequence-84546,C3957,1
Sequence-60458,C589,0
Sequence-51717,C4988,0
Sequence-16365,C2614,0
Sequence-96004,C2089,0
Sequence-135743,C3671,0
Sequence-77330,C5982,0
Sequence-93768,C2298,0
Sequence-53692,C3736,0
Sequence-54737,C1173,0
Sequence-139047,C6040,0
Sequence-51443,C6162,0
Sequence-108026,C1215,0
Sequence-53018,C1746,0
Sequence-10336,C2343,0
Sequence-96627,C7839,0
Sequence-14486,C1614,0
Sequence-29183,C95,0
Sequence-12541,C149,0
Sequence-75509,C3745,0
Sequence-110423,C7765,0
Sequence-126010,C2284,0
Sequence-128078,C5876,0
Sequence-123367,C3503,0
Sequence-141537,C3628,0
Sequence-74573,C3093,0
Sequence-94322,C4596,0
Sequence-82482,C5403,1
Sequence-82129,C1370,0
Sequence-45162,C30,0
Sequence-50300,C3852,0
Sequence-62695,C2858,0
Sequence-128304,C4539,0
Sequence-40670,C158,1
Sequence-104400,C3236,0
Sequence-58510,C7514,0
Sequence-108165,C6285,0
Sequence-128806,C1756,0
Sequence-45435,C1079,0
Sequence-58001,C1090,0
Sequence-139429,C4987,0
Sequence-35743,C2773,0
Sequence-74653,C2966,0
Sequence-52737,C1426,0
Sequence-38156,C4,0
Sequence-35268,C1041,0
Sequence-109938,C7730,0
Sequence-111760,C6172,0
Sequence-53624,C978,0
Sequence-96229,C136,0
Sequence-14833,C4969,0
Sequence-103749,C5272,0
Sequence-74278,C3863,0
Sequence-7170,C452,0
Sequence-26191,C286,0
Sequence-136177,C5372,0
Sequence-16658,C4513,0
Sequence-12977,C2929,0
Sequence-105750,C3384,0
Sequence-12134,C3805,0
Sequence-34643,C2226,0
Sequence-119652,C6770,0
Sequence-14308,C6231,0
Sequence-3809,C1187,0
Sequence-115745,C2194,0
Sequence-16101,C1347,0
Sequence-77593,C5,0
Sequence-140248,C2870,0
Sequence-13380,C7175,0
Sequence-21698,C1542,0
Sequence-6077,C3100,0
Sequence-11942,C1743,0
Sequence-141249,C3025,0
Sequence-140125,C5592,0
Sequence-57708,C275,0
Sequence-3233,C1734,0
Sequence-37443,C2851,0
Sequence-137105,C158,0
Sequence-84147,C1372,0
Sequence-30223,C961,0
Sequence-8973,C1623,0
Sequence-8140,C5168,0
Sequence-29897,C709,0
Sequence-71992,C6815,0
Sequence-17239,C5626,0
Sequence-49706,C7076,0
Sequence-137428,C2062,0
Sequence-74181,C2934,0
Sequence-128516,C3886,0
Sequence-1152,C1654,0
Sequence-60779,C2161,0
Sequence-135158,C1499,0
Sequence-70916,C81,0
Sequence-60337,C6553,0
Sequence-81017,C4492,0
Sequence-63819,C2294,0
Sequence-102425,C94,0
Sequence-78327,C834,0
Sequence-73456,C522,0
Sequence-10091,C731,0
Sequence-125060,C5698,0
Sequence-69438,C2633,0
Sequence-2728,C1722,0
Sequence-120679,C5598,0
Sequence-136386,C1021,0
Sequence-4972,C2473,0
Sequence-38167,C2,0
Sequence-139708,C5500,0
Sequence-35943,C580,0
Sequence-99759,C6826,0
Sequence-58396,C3718,0
Sequence-16503,C322,0
Sequence-74369,C6515,0
Sequence-5343,C5604,0
Sequence-115972,C2845,0
Sequence-98739,C982,0
Sequence-51913,C7497,0
Sequence-72745,C5534,0
Sequence-81766,C7848,0
Sequence-44936,C184,0
Sequence-73696,C7434,0
Sequence-35827,C2041,0
Sequence-72837,C3106,0
Sequence-70746,C3863,0
Sequence-100383,C715,0
Sequence-116361,C1082,0
Sequence-111004,C809,0
Sequence-33463,C4747,0
